Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Singapore,"221,419.74","275,291.61","329,130.37","345,117.05","356,688.80","359,809.74","298,653.59","278,374.10","311,169.12","337,476.17"
Sint Maarten,0,0,19.54,27.46,170.5,155.16,151.7,159.48,539.52,900.8
Slovak Republic,"50,326.22","63,342.50","76,677.54","76,251.56","79,911.88","81,041.62","73,402.68","72,038.16","78,127.49","86,981.82"
Slovenia,"23,513.80","26,552.50","32,085.62","29,573.42","30,771.90","32,720.83","29,646.64","31,228.88","36,505.07","42,540.56"
Solomon Islands,246.29,315.94,428.12,461.82,461.1,425.1,388.56,418.12,445.69,499.88
Somalia,877.84,"1,031.55","1,445.85","1,519.08","1,716.38","1,895.25","2,027.02","2,217.91","2,651.50","2,698.29"
South Africa,"73,019.52","96,927.62","125,078.81","123,716.21","122,029.35","120,020.23","94,545.65","84,491.46","91,443.26","100,138.93"
"South Sudan, Rep. of",0,0,5.19,93.51,267.72,211.88,480.33,377.99,661.99,583.49
Spain,"285,501.84","320,505.23","355,713.64","321,127.55","323,932.81","344,453.17","304,081.88","304,887.24","339,513.24","377,799.20"
Sri Lanka,"10,095.91","14,115.31","20,382.75","18,885.33","19,488.74","22,568.95","21,174.22","18,148.78","20,100.74","21,526.26"
St. Kitts and Nevis,331.09,343.78,927.43,312.37,512.07,512.96,397.33,365.89,394.07,383.7
St. Lucia,"2,817.67","3,508.42","3,611.20","2,017.38","1,081.34","2,377.38","1,586.04","1,087.36","1,689.09","2,182.22"
St. Vincent & Grens.,579.84,560.73,574.54,448.38,532.89,548.82,435.74,341.07,363.36,360.58
Sudan,"5,870.61","7,250.28","8,168.16","9,206.15","10,116.47","9,384.50","9,243.30","8,609.73","9,215.88","8,708.44"
Suo Tom Principe,139.31,164.04,191.46,156.75,161.64,174.24,131.6,148.01,132.05,137.95
Suriname,"1,302.06","1,426.06","1,631.86","1,885.45","2,125.19","1,789.00","1,639.44",994.46,"1,153.91","1,315.38"
Sweden,"113,986.43","137,903.60","164,205.42","152,629.63","151,379.52","155,236.54","133,480.53","135,004.17","147,284.04","160,197.37"
Switzerland,"201,298.48","231,771.29","299,906.93","286,990.83","317,952.35","271,255.91","255,916.30","257,534.96","269,311.73","277,762.58"
Syrian Arab Republic,"15,716.31","18,062.44","16,577.45","7,950.15","6,351.17","7,316.37","5,446.69","4,433.65","4,949.88","5,716.19"
Taiwan Prov.of China,"162,562.64","233,708.26","267,087.35","259,956.63","259,061.67","264,005.88","225,214.39","210,373.97","226,837.87","248,824.46"
Tajikistan,"3,021.49","3,414.25","4,429.39","4,336.58","4,520.13","5,304.50","3,836.03","3,567.03","3,379.64","3,807.10"
Tanzania,"6,722.41","8,293.46","11,624.12","12,077.84","15,214.61","16,015.10","12,462.01","11,169.94","12,257.09","13,593.59"
Thailand,"119,217.12","164,324.61","202,061.37","225,758.10","227,374.16","208,299.01","190,025.45","179,593.48","204,165.80","226,249.16"
Timor-Leste,366.19,919.82,608.85,676.37,457.14,531.88,592.7,356.63,400.85,479.98
Togo,"3,072.89","3,515.19","9,780.36","9,596.19","10,345.17","12,936.67","9,987.27","7,647.45","8,850.85","10,854.14"
Tonga,99.65,145.85,172.95,184.6,197.57,195.09,177.47,201.42,137.85,206.3
Trinidad and Tobago,"5,762.03","5,100.29","7,295.05","6,598.93","7,014.00","6,410.11","6,466.38","5,942.02","5,614.07","5,848.56"
Tunisia,"18,464.14","21,307.81","23,467.51","23,283.75","23,786.81","23,737.04","19,079.42","18,450.01","19,369.61","22,071.67"
Turkey,"121,000.36","167,128.52","213,807.70","220,313.95","234,097.24","226,610.76","189,476.48","179,024.72","212,030.63","208,782.06"
Turkmenistan,"5,255.02","4,267.63","6,013.17","7,755.67","7,585.22","7,881.60","5,712.86","4,973.68","4,367.99","2,185.86"
Tuvalu,97.84,73.02,72.69,211.71,107.14,121.37,76.81,57.55,79,86.04
U.S.S.R.,0.04,0.07,0,0,0,0,0,0,0,0
Uganda,"2,729.12","3,020.20","3,850.10","3,942.89","3,831.75","3,772.10","3,527.16","3,694.07","4,094.74","4,307.22"
Ukraine,"43,270.32","55,111.84","73,907.69","85,153.59","81,778.93","58,626.16","37,537.08","38,679.04","48,279.25","57,385.68"
United Arab Emirates,"149,462.72","177,828.82","220,853.08","253,322.73","266,156.21","271,845.19","243,998.90","229,524.20","235,519.53","229,468.30"
United Kingdom,"510,716.36","577,674.03","673,972.40","687,393.14","671,566.07","694,453.09","642,902.46","648,701.27","659,157.69","685,150.21"
United States,"1,481,319.22","1,824,895.34","2,114,042.79","2,159,434.34","2,169,275.68","2,266,807.19","2,132,995.41","2,086,957.43","2,246,649.77","2,459,879.84"
Uruguay,"7,340.21","9,716.35","12,092.63","13,714.61","14,500.15","14,161.32","14,395.35","12,563.91","13,590.15","14,306.82"
Uzbekistan,"8,848.48","8,947.37","10,521.58","11,658.64","13,511.07","14,198.44","11,103.74","9,948.43","11,813.40","17,151.33"
Vanuatu,387.35,967.17,511.61,657.58,984,708.51,381.76,366.78,477.92,367.39
Vatican,17.53,56.95,67.7,69.18,58.77,54.99,40.46,42.73,61.49,61.27
"Venezuela, Rep. Bol.","33,684.77","35,408.88","45,468.29","59,193.16","47,174.95","39,280.42","28,449.04","15,261.90","10,408.47","11,243.31"
Vietnam,"71,872.39","92,785.43","117,469.36","127,542.34","155,922.81","181,585.29","194,504.49","202,443.18","236,521.82","260,501.13"
West Bank and Gaza,299.38,391.34,444.92,475.4,599.36,717.67,771.96,792.87,958.68,956.48
"Yemen, Republic of","8,687.38","9,343.85","8,634.18","11,747.31","14,384.97","11,802.93","7,318.52","7,324.64","7,325.17","8,843.81"
"Yugoslavia, SFR",15.09,4.9,33.57,4.29,3.43,0.99,4.96,5.16,0,0
Zambia,"3,245.26","4,049.98","5,591.22","6,200.50","6,486.67","6,379.65","5,127.55","5,335.02","5,817.30","6,965.26"
